                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86855,                0.64598,                 1.1884,                0.98064,                0.97534,                0.98973,                0.83378,                 0.6789,                0.34327,                 1.1471,               0.000948,               0.000948,               0.000948
                     36,                0.87094,                0.64205,                 1.1886,                0.97665,                0.97088,                0.98964,                0.82341,                0.72208,                 0.3765,                 1.1726,             0.00093385,             0.00093385,             0.00093385
                     37,                0.85711,                0.63769,                 1.1757,                0.98657,                0.98528,                0.98971,                0.83691,                0.67513,                0.32841,                 1.1441,              0.0009197,              0.0009197,              0.0009197
                     38,                0.84827,                0.63088,                 1.1794,                0.97803,                0.97747,                0.99203,                0.83116,                0.72935,                0.35146,                 1.1875,             0.00090556,             0.00090556,             0.00090556
                     39,                0.84445,                0.62234,                 1.1698,                0.98056,                0.96912,                0.98842,                0.82355,                0.70706,                0.36105,                 1.1751,             0.00089141,             0.00089141,             0.00089141
                     40,                0.84989,                0.62674,                 1.1721,                0.98603,                0.96557,                0.99201,                0.83369,                0.68781,                0.32527,                 1.1537,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.8349,                0.61238,                 1.1657,                0.98112,                0.96125,                 0.9903,                0.83982,                0.67339,                0.34875,                 1.1587,             0.00086312,             0.00086312,             0.00086312
                     42,                0.82805,                0.61156,                 1.1638,                0.96725,                0.97927,                0.98439,                0.82468,                0.68353,                 0.3442,                 1.1401,             0.00084897,             0.00084897,             0.00084897
                     43,                0.83814,                0.61226,                 1.1644,                0.98219,                 0.9627,                0.99147,                0.84111,                 0.6617,                0.33548,                 1.1382,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.8395,                0.60804,                  1.169,                0.97055,                 0.9763,                0.99191,                0.83964,                0.67006,                0.33142,                 1.1689,             0.00082067,             0.00082067,             0.00082067
